model,C_cv,AUC_5y,AUC_10y,AUC_15y,C_in
mechanistic (main),0.6558750063335558,0.7045696985371092,0.6830943521875048,0.6675559793686229,0.6591167088364692
"Cox PH, 6 features",0.6560539629732244,0.7077337683080153,0.6830104805342626,0.6649383994675737,0.6589237375202
