seed_link,VDT_days,M_cells,loss,C_in,C_cv,n_Tpred_le_0,mean_Tpred_months,median_n0_cells,alpha0,alpha1_size,alpha2_nodes,beta_GRADE,beta_ER_BIN,beta_HER2_BIN,beta_PR_BIN
log1p,150,1000000000.0,8451023.703593109,0.6553769462882129,0.6540357757837214,3,125.94664803151633,1.91307513228033,-3.4700188341725275,0.1038939249924098,3.6937637421962237,0.010308459948375726,-5.612955315201039e-05,0.03438378689275963,-0.008855055805206891
log1p,185,1000000000.0,8451023.703590987,0.6553769462882129,0.6540357757837214,3,125.94661621178828,85.3370037573909,1.107096793600203,0.0842383091015144,2.994943636456013,0.008358177734384836,-4.551300007707304e-05,0.027878812401494073,-0.007179716518858679
log1p,250,1000000000.0,8451023.703589806,0.6553769462882129,0.6540357757837214,3,125.946615599937,5875.469362817687,6.207305842801087,0.06233616995164793,2.2162577853203516,0.006185059793703586,-3.365085489958097e-05,0.020630272926454363,-0.00531300502297883
log1p,185,100000000.0,8451023.70359018,0.6553769462882129,0.6540357757837214,3,125.9466095174457,8.533724588402084,-1.1954823067868616,0.08423810509217647,2.994943499152515,0.008358175927033473,-4.5503889172411266e-05,0.02787876593854583,-0.007179735119300453
bounded,150,1000000000.0,8655924.31124743,0.6567460723868827,0.6534242001273342,0,120.33040038570498,4.464084267094722,-3.630878992130988,0.0379571820997922,0.2423326800469519,0.010220758692323188,0.0005324987041615932,0.032861758043228294,-0.001286716765376554
bounded,185,1000000000.0,8487515.102841293,0.6591167088364692,0.6570013692905292,0,124.10229460303206,75.66515864631977,-2.058833714926106,0.02571783259879111,0.16066296282267112,0.00879623635018718,0.00016098255572333695,0.028471534865959307,-0.00548852353399983
bounded,250,1000000000.0,8426851.927709889,0.6606054987122668,0.6590035941828072,0,125.2393427909821,5020.03797110093,-0.8487057537349467,0.017161246996232858,0.11210878783500217,0.006239682534604291,-3.231983258298311e-05,0.021365352585690948,-0.004712296211309396
bounded,185,100000000.0,8554504.562641088,0.6574284793321252,0.6552102356592017,0,122.62025015277837,9.997261640938607,-2.8504052520842955,0.03201197950466806,0.20009561361482228,0.008781957770735106,0.00032309923193708925,0.027789734818800222,-0.003908841695805256
