parameter,estimate,boot_mean,ci_lo,ci_hi,expected_sign,ci_excludes_zero,sign_ok
alpha0,-2.058833714926106,-2.063720187493906,-2.4546984594434553,-1.7054725976571434,,True,
alpha1_size,0.02571783259879111,0.025742061642924672,0.014551231341284766,0.03587273405096175,+,True,True
alpha2_nodes,0.16066296282267112,0.1619832843394327,0.12361870583658581,0.20793998664370822,+,True,True
beta_GRADE,0.00879623635018718,0.008796825450334366,0.001190682392628745,0.016439104486659892,+,True,True
beta_ER_BIN,0.00016098255572333695,0.00029884765783534586,-0.014511405353456073,0.013764348712118865,-,False,False
beta_HER2_BIN,0.028471534865959307,0.028898393690884754,0.010238815350821912,0.049338796156613025,+,True,True
beta_PR_BIN,-0.00548852353399983,-0.005540858423152628,-0.01557068275681562,0.0050732872465675816,-,False,True
beta0 (implied by anchor),0.10177651318759581,0.10168980477434224,0.0790579359304678,0.12628347214282806,,True,
