b,C_main,C_treat_HT,C_treat_HTCT,C_cont_recept,C_mki67,C_imm_sig,C_imm_cyt,C_imm_pdl1,C_mki67_imm,C_cox6
0,0.645502412695619,0.6454107449289391,0.6455830803302973,0.640662354614922,0.6526451650753142,0.6485017820213843,0.6493084583681671,0.6457224153356507,0.6544198530382365,0.6459277511330136
1,0.6427997252875896,0.6137871290992243,0.6178063589679554,0.64738476906988,0.6602931306288728,0.6413988480809153,0.6413988480809153,0.6424758455991384,0.658310830848955,0.6468111508264786
2,0.6370580697037466,0.6345662570880553,0.6357765660728195,0.6449397358259835,0.665594559053865,0.6392609158144249,0.6416564062617786,0.6354834116474442,0.6662059954267909,0.6428206481225553
3,0.6515776242364074,0.6509491365299472,0.6487514311105418,0.6595037749293452,0.6690151557608705,0.6525703946262299,0.6536352209314428,0.6503927047388773,0.6692473359326838,0.6509851644876424
4,0.6455977693111289,0.6432510907638419,0.6423638849628218,0.6490428931358693,0.6540895962637497,0.6515547225465494,0.6536517544398697,0.6453942112702021,0.6564708412708167,0.6479406071406625
5,0.6694564365714637,0.6396626158029775,0.6355298130252424,0.6701516385257109,0.6886109788136244,0.6746301218331823,0.6762432976386179,0.6699980027347171,0.692405782851173,0.6722986987048503
6,0.6707297970221116,0.6705113196036078,0.6713398849077448,0.6645011294870315,0.6592329381502795,0.6657625274127327,0.6676669909476148,0.6686893003775949,0.6593483601826966,0.6634004979636255
7,0.6652264536019801,0.6637674236831821,0.6675365843067437,0.6548873159928785,0.6768335576881324,0.6651786877415433,0.6665074471318772,0.6654565982022667,0.6772764774849104,0.6711059967866603
8,0.6500390367864305,0.648982747271252,0.6318792768243957,0.6537590129051023,0.665959922232598,0.6533303736815517,0.6541493807694074,0.6428363669764096,0.6696952068949681,0.6495491633880869
9,0.6615036195252153,0.6613297205483885,0.6576252679257492,0.6619889189954301,0.6742022889958346,0.666736765479031,0.6674647146843531,0.6617058276378048,0.6789744004529462,0.6560116471872851
10,0.6577076520328196,0.6490636735444912,0.6468598144911051,0.6549685103251006,0.6821424688239672,0.6597776904226224,0.6614588125088865,0.6552528792352149,0.6852705268352249,0.6544374095665046
11,0.6324074771990653,0.6206791286651089,0.6184857164392854,0.6547825431521821,0.6439059320117585,0.6378608577673928,0.6387502826562147,0.6322077334740334,0.6468154066480741,0.6329501771312278
12,0.6377354995126902,0.6241995634348495,0.6235310227062206,0.6390121706631441,0.6557095794637176,0.6434342051211831,0.6444410435679133,0.6374817762241142,0.6597449879582121,0.6386376267609605
13,0.6508743976371832,0.6505945903932846,0.6514806466656303,0.6481035286802425,0.6590082387688482,0.6535986320534742,0.6547955852634851,0.650085496657858,0.6610368412871134,0.6530895383180476
14,0.6559919643139612,0.6521837134993198,0.6512504350026891,0.6572811541016799,0.6622876395963175,0.6587917998038534,0.6597408965800879,0.6566009680787117,0.6647869277737354,0.6534610395773356
15,0.6741074371991824,0.6703987275004945,0.6640485923386299,0.6785043185864047,0.6905864706270192,0.6682188303553768,0.6725374167600712,0.6736582712467858,0.68396024263203,0.6639373310476693
16,0.6288191110860112,0.6287828058314306,0.6246399728920766,0.6358421608887527,0.6518003372354759,0.6177863476107108,0.617681465764145,0.6270401536115661,0.6422480213636254,0.6313846824097008
17,0.6546910192882591,0.6544125476063721,0.6553257709160899,0.6511077439698595,0.6620828043736435,0.6575125926532618,0.6556615750030714,0.6543593103730702,0.6651459928744011,0.6560178549490151
18,0.6378097588131743,0.6328107368009268,0.6331267020748387,0.631802657117494,0.6507981884657629,0.643267682770865,0.6452687961723064,0.6372267276529798,0.6544618810465973,0.6308284308562659
19,0.6668498598781695,0.6611820576932759,0.6493262405396788,0.6493262405396788,0.6750851638670269,0.6628349918611871,0.6640012753603732,0.6669043983151818,0.6722575556711584,0.6665729724287225
