parameter,estimate,ci_lo,ci_hi
alpha0,-2.255577,-2.8058413111609295,-1.8047961123135816
alpha1_size,0.026655,0.013985341365449327,0.038294651307034314
alpha2_nodes,0.155558,0.11837339715878045,0.20771258083479185
beta_GRADE,0.007452,-0.00031893254972327,0.01538070087416163
beta_ER_BIN,0.004744,-0.010896598761038252,0.01925732467183407
beta_HER2_BIN,0.028278,0.009394107657085184,0.05045582027471889
beta_PR_BIN,-0.005416,-0.015680979409910555,0.005734374414489723
beta_HT_BIN,0.005528,-0.003633195600920884,0.015157178035718852
beta_CHEMO_BIN,0.020824,0.004495220547233106,0.03838694795705745
