comparison,delta_C_mean,ci_lo,ci_hi,n_valid,frac_positive,C_A_oob,C_B_oob
mechanistic (main) - Cox PH (same 6 features),0.0003131991301033955,-0.00927297562631059,0.0103046806216545,1000,0.516,0.6530233767263487,0.6527101775962456
continuous ESR1/PGR/ERBB2 mRNA - main,0.00239958511085075,-0.009829781138731019,0.01564209096481357,1000,0.672,0.6554229618371995,0.6530233767263487
+MKI67 mRNA - main,0.015026398655800126,0.0015564259511562817,0.025735841389407505,1000,0.984,0.6680497753821489,0.6530233767263487
+hormone therapy - main,-0.005837519394449333,-0.021740963979389436,0.0014226211134042985,1000,0.122,0.6471858573318995,0.6530233767263487
+hormone & chemo - main,-0.006314513660366987,-0.023014876293383862,0.0043980859890546285,1000,0.199,0.6467088630659819,0.6530233767263487
Soil=immune signature - main,0.0027184807387925663,-0.0059300429842078,0.008150888098544444,1000,0.842,0.6557418574651414,0.6530233767263487
Soil=cytolytic score - main,0.003963027080656339,-0.00593792485837406,0.01015152375140778,1000,0.878,0.6569864038070052,0.6530233767263487
Soil=PD-L1 mRNA - main,-0.0010565058041293578,-0.0067394084569096565,0.0010928239980873384,1000,0.307,0.6519668709222195,0.6530233767263487
+MKI67 & immune Soil - main,0.017186193021374543,0.0029468540923278394,0.029153975822249573,1000,0.987,0.6702095697477234,0.6530233767263487
