parameter,estimate,ci_lo,ci_hi
alpha0,-2.19228,-2.684863581759277,-1.763677657075671
alpha1_size,0.02652,0.014467738496759216,0.03731626030884112
alpha2_nodes,0.163952,0.12522696791439158,0.21587119743469288
beta_GRADE,0.008471,0.0005957365130096014,0.016466578257680935
beta_ER_BIN,-0.002001,-0.018071845702012663,0.013104041470829896
beta_HER2_BIN,0.029908,0.010760958777164265,0.05168011423393753
beta_PR_BIN,-0.005098,-0.01523202006742942,0.006097828282704771
beta_HT_BIN,0.004812,-0.004580267894165899,0.014712074060854457
