VDT_days,lambda_ref,scale_c,ln_n0_cohort_mean,n0_cohort_mean_cells,T_pred_cohort_mean
100,0.21097667308293336,1.8500000000000003,-7.745434122857404,0.00043271375483257604,124.2579219440383
126,0.16744180403407408,1.4682539682539684,-1.870940480358204,0.15397877967854073,124.2579219440383
150,0.14065111538862224,1.2333333333333336,1.744132530410532,5.7209365837766875,124.2579219440383
164,0.12864431285544717,1.128048780487805,3.3643024468221334,28.913321683662815,124.2579219440383
185,0.11404144490969369,1.0,5.334779372187594,207.42697959840177,124.2579219440383
200,0.10548833654146668,0.9250000000000002,6.488915857044503,657.8098166131117,124.2579219440383
250,0.08439066923317334,0.7400000000000001,9.335785853024884,11336.533616832927,124.2579219440383
268,0.07872263921004975,0.6902985074626866,10.100616598213644,24358.0239090107,124.2579219440383
332,0.06354719068763053,0.5572289156626506,12.148356210499479,188783.51428955645,124.2579219440383
400,0.05274416827073334,0.4625000000000001,13.606090846995457,811054.7556195643,124.2579219440383
500,0.04219533461658667,0.37000000000000005,15.029525844985647,3366976.9254975477,124.2579219440383
