seed_link,n_params,loss,C_in,C_cv,C_cv_sd,n_Tpred_le_0,min_Tpred,max_ln_n0,hess_min_over_max,alpha1_size,alpha2_nodes,beta0_implied,beta_GRADE,beta_ER_BIN,beta_HER2_BIN,beta_PR_BIN
linear,7,8529310.10061761,0.6593010557363689,0.656943669592951,0.01704495941788145,7,-63.066789869352526,28.52903131269787,6.20056156966266e-10,0.09266025879082933,0.5451607767013771,0.10271166080740705,0.009728378985286156,-0.0003709436133075078,0.029135005256992648,-0.007756030254978168
log1p,7,8451023.703589676,0.6553769462882129,0.6540357757837214,0.01398239315408138,3,-32.43715876510882,24.926452907268754,6.083209180477295e-10,0.08423805314202348,2.9949434292044406,0.10455023674361144,0.008358200280443503,-4.5453004455163316e-05,0.027878736012303115,-0.007179739390349604
pN,7,8493022.104869116,0.6504987607791729,0.6489766698768732,0.014658041772057843,3,-33.10418971574806,25.01267670132806,7.670924814765013e-10,0.08698694514194635,2.7622625568922925,0.10459129724634027,0.008567919744346779,-0.0007220054180786464,0.02775315923357711,-0.006963686407261495
bounded,7,8487515.102841128,0.6591167088364692,0.6570013692905292,0.017065886183469416,0,0.5021891627365186,20.661578083675344,3.6264400056332126e-09,0.025717841236380067,0.16066297093361692,0.10177650977331065,0.008796238275101488,0.0001609832708405454,0.028471536684347567,-0.005488524684660489
