VDT_days,lambda_ref,scale_c,ln_n0_cohort_mean,n0_cohort_mean_cells,T_pred_cohort_mean
100,0.21097667308293336,1.8500000000000003,-5.353629266657094,0.004730949925828307,113.27240954285637
126,0.16744180403407408,1.4682539682539684,0.027317342022996627,1.0276938814768828,113.27240954285637
150,0.14065111538862224,1.2333333333333336,3.3386691012107406,28.18159488490964,113.27240954285637
164,0.12864431285544717,1.128048780487805,4.822720042066226,124.30274004341045,113.27240954285637
185,0.11404144490969369,1.0,6.6276468620256,755.7018061243464,113.27240954285637
200,0.10548833654146668,0.9250000000000002,7.684818285144658,2175.0746943101294,113.27240954285637
250,0.08439066923317334,0.7400000000000001,10.29250779550501,29510.688404561784,113.27240954285637
268,0.07872263921004975,0.6902985074626866,10.99308109679585,59461.30814888377,113.27240954285637
332,0.06354719068763053,0.5572289156626506,12.868779359957404,388007.2717127142,113.27240954285637
400,0.05274416827073334,0.4625000000000001,14.204042061045534,1474813.4439006608,113.27240954285637
500,0.04219533461658667,0.37000000000000005,15.50788681622571,5432374.103885129,113.27240954285637
