b,C_main,C_treat_HT,C_treat_HTCT,C_cont_recept,C_mki67,C_imm_sig,C_imm_cyt,C_imm_pdl1,C_mki67_imm,C_cox6
0,0.6449157389888679,0.645388744664936,0.6457150819143163,0.6408603569909506,0.6538405127528197,0.647255100394538,0.6483917807013684,0.644013728164738,0.656971883662604,0.6459277511330136
1,0.636103610282985,0.6214275680147345,0.6237766712972357,0.63793372563098,0.6534331246975822,0.6383239421230898,0.6382302901649836,0.6360762951285374,0.6549939906660215,0.6468111508264786
2,0.6395205668769003,0.6376485664748599,0.6390180164333995,0.645894581668635,0.6645475789632385,0.6430719233443056,0.6465143938822859,0.6374349825363721,0.6659295926828656,0.6428206481225553
3,0.6573020664035292,0.6575142310432895,0.6549402336212902,0.6687749693762359,0.6728901627663066,0.659495768716524,0.6602563589345332,0.65563677413673,0.6730502870227296,0.6509851644876424
4,0.643446967369262,0.6425597615682419,0.644092207951822,0.6457629201745222,0.6539129232470964,0.6525609905979229,0.6540665519572297,0.643619799668162,0.6606879493639771,0.6479406071406625
5,0.660376561323726,0.6432961022599825,0.6404615219161456,0.6589669529413572,0.6792622409316474,0.6677626019757563,0.6684846901934275,0.6607107191691376,0.6850696738312158,0.6722986987048503
6,0.674909723481788,0.674468646429337,0.6754621003512128,0.6717150065131005,0.6712285850907712,0.6737678698039474,0.6770161755734002,0.6704288752947384,0.6731660263492011,0.6634004979636255
7,0.6637153154717964,0.6635589908376395,0.6652351383038777,0.6553910287029397,0.6743323635416214,0.6644925962916323,0.6666550870641366,0.6640844153024448,0.676069303921143,0.6711059967866603
8,0.647107450668218,0.6476126326102598,0.6344587664375488,0.6503987875633391,0.6629671019395925,0.6526567977588292,0.6516005082436508,0.6407620593052983,0.6677510218452919,0.6495491633880869
9,0.6525094026772355,0.6524082986209406,0.6528369798196304,0.6539733894123833,0.6660977878432482,0.6605977271808144,0.6615845027702512,0.6533586767501112,0.6729809519957941,0.6560116471872851
10,0.6571807331699606,0.6498582337345166,0.6524300996127564,0.655420155064694,0.6787885884429129,0.6615089952577302,0.6624206485283909,0.6560390756337663,0.6828115721418834,0.6544374095665046
11,0.6346008894248888,0.627673927790759,0.6272669028416371,0.6488354563955679,0.6464460691942413,0.6427903821512022,0.6439285445089319,0.6357880455264943,0.6521519559810055,0.6329501771312278
12,0.6300754726099669,0.6192217541542154,0.6215978928884986,0.630425852389429,0.6485650538457202,0.640437853903714,0.6394954531175746,0.6305063994651674,0.6565714331741186,0.6386376267609605
13,0.6428998911860718,0.6432418778175035,0.6403660811441008,0.6409451266905021,0.6548499922275766,0.6477226799316027,0.6485154671226488,0.6416990517643402,0.6595212187159957,0.6530895383180476
14,0.6517289379607074,0.6479602328450758,0.6485376000506184,0.654963776139707,0.6612831788414693,0.6558812363567338,0.6570676073270271,0.6521164858110032,0.6651665664842292,0.6534610395773356
15,0.6646790729874069,0.6638796400079119,0.6617162260170106,0.6692902353794422,0.6792295773719259,0.6654331772928067,0.6682188303553768,0.6640321091844136,0.6791059537153029,0.6639373310476693
16,0.6341358139234685,0.635390362165084,0.6314814964219154,0.6404730978063559,0.6550274709759659,0.6259751994772044,0.6277017160283666,0.6316952940322229,0.6475889277041363,0.6313846824097008
17,0.6560997583848642,0.6566812727793931,0.6573405954379786,0.6514763094311806,0.6633768786600598,0.661747000286662,0.6612310086408125,0.6561939473360907,0.6673000532372333,0.6560178549490151
18,0.6336345034079112,0.6287031882400734,0.629696221958082,0.6284549298105713,0.6476460587093571,0.6405970239080391,0.6419511607962325,0.6334727592795992,0.6547101394760995,0.6308284308562659
19,0.6558498766592271,0.6534375996375291,0.6500981691866221,0.6444513433236563,0.6667281972109882,0.6552080012082362,0.6555855750029367,0.656214864660771,0.6665184339917102,0.6665729724287225
20,0.6653940973445094,0.6602979502711841,0.6624533352116644,0.6649362541381982,0.6852151863069662,0.672473057688244,0.676128759597098,0.6641121363668381,0.6909980981897584,0.6629569627386067
21,0.6860794247148224,0.6841286571579144,0.6823436410927698,0.6829471465243188,0.7100283902555123,0.6834486510378593,0.6819696377267396,0.6833551501963517,0.7068408615677542,0.6857394216547948
22,0.6606940299809783,0.6606155000610788,0.6580807287576567,0.6612917299268799,0.6746156396698253,0.667111669546097,0.6673123571191735,0.660890354780727,0.6812208784880373,0.6661562221873201
23,0.625627925684407,0.6236767562664202,0.6239719990072997,0.6230819919043584,0.6427562835357243,0.630749745406622,0.631836581003483,0.6244170025587704,0.6459140971990449,0.6384645665922142
24,0.6785399137038556,0.6702854998853554,0.6682531631497398,0.6779875350013549,0.6934819313104924,0.6774594748580839,0.677862468125317,0.6753611306045594,0.6924605518228497,0.6696879581442855
25,0.6649626839482489,0.6628921694780432,0.6629779535050574,0.6654734888363787,0.6716577373293093,0.6682731675362048,0.6700512364597712,0.665192741111605,0.6734436048007861,0.6642608146363147
26,0.6444641396236706,0.6397319495019169,0.6418694557179294,0.6500906334718234,0.6530342161407786,0.6529540095285455,0.6523283979531272,0.6425512119219109,0.6594908484255442,0.6402452718202088
27,0.6521284247695024,0.6334556659909762,0.6368640881449029,0.6543271431373832,0.6767557052246126,0.6610540770287059,0.6626152488066436,0.6515889622703197,0.6833927286994049,0.655945530634931
28,0.6407113462669018,0.6422524565381709,0.6437599731250525,0.6412866381120349,0.6472495170907869,0.6509280255312001,0.6524901318552112,0.6419585117997817,0.6569077013521458,0.6401738473167045
29,0.6505084825562234,0.6510695396977354,0.6545300459831448,0.6551107205072271,0.6658296583436651,0.6555893846419435,0.6571823161066558,0.654373106922582,0.6704672075832954,0.6453373405106797
30,0.6523773018777718,0.6499744464777355,0.6511614488022817,0.6477817894060043,0.6643915788779531,0.6580938721004995,0.6594787081458034,0.6533128905155217,0.6681833918591424,0.6496653312890516
31,0.6348597721297108,0.625703667498146,0.6254255713611542,0.6377755679902919,0.6561720488100856,0.6432447920177982,0.6457476572507247,0.6365199217959954,0.6616665543045911,0.6463796939257062
32,0.6484728506787331,0.6383910207439619,0.640282511606041,0.6483149203737439,0.6639243109831345,0.6525533290239173,0.6535229476405947,0.6473820297349709,0.6672298289945349,0.6425376094493741
33,0.6687903301225101,0.6693787212818355,0.6702242900339787,0.6691994762929019,0.6879422675270426,0.676205617382088,0.6771719816702516,0.668770846971539,0.6945665388571963,0.6608879640886561
34,0.6636769212535767,0.6639181890523678,0.6643414658923522,0.6633933257707871,0.6754990433943416,0.6694800467297631,0.6687943382489884,0.6607012850684862,0.6808746592621439,0.6657679088430998
35,0.6636373645918912,0.6578017938662986,0.6556759183189491,0.6619265006055781,0.6748850248583456,0.6694814049411785,0.6710991030668507,0.6641031938950952,0.6802971143992073,0.6615453675393203
36,0.646412186949001,0.6441852108733256,0.6454094209862203,0.64914890238909,0.6541376630539237,0.6526168013437064,0.6552239928469361,0.6438175300203061,0.6596278067001479,0.646311910352723
37,0.6671678097233015,0.6616693131524714,0.6565677894523464,0.6716865434643062,0.6886888070542924,0.6751494982938613,0.6772188249603027,0.6666863745396804,0.6944660292577451,0.6590340889894929
38,0.6364037750427728,0.63709365859043,0.6394629158026697,0.6371922133829524,0.6513052596721673,0.6406298045461355,0.6421357217758785,0.6360647465564956,0.6546955445349396,0.6276284563165737
39,0.6620653823439264,0.6618822280532568,0.6627755724506044,0.6668984129120037,0.6770354422241659,0.6672796728640098,0.669462572981378,0.6617626170879215,0.6813040585495675,0.6574005546958518
40,0.6477055761353808,0.6489906819628257,0.6485541539515984,0.6516261688343479,0.653812888591524,0.6547430604285318,0.6549225672742701,0.6469100344326768,0.6601690628110772,0.6543962858401736
41,0.6692020521099322,0.6703274527913817,0.6732302104111205,0.6719883889695211,0.6825671553751465,0.6698617697507819,0.6737967914438503,0.6693107114860722,0.6831259750238663,0.669652212382512
42,0.6337630641152338,0.6298588027430899,0.6316705596981403,0.6398646422903004,0.648234659958674,0.6397074237115563,0.6410849579253137,0.6322357979217201,0.6523298296050071,0.6357844458419429
43,0.6322894968833135,0.6333114892222717,0.6248312932493896,0.6319657359515061,0.65444176594035,0.6398218144654824,0.6422948798963966,0.6314118317067272,0.6594347056115961,0.6393966344466029
44,0.6550128981049708,0.6520446803585012,0.6525572973509277,0.6612180441181335,0.6696596884611569,0.6618216092866356,0.6617058570625393,0.6542811786883619,0.6753398154578827,0.6428919866388861
45,0.6387832990431903,0.6350547240089639,0.6369744621291502,0.6578965482955632,0.6464775482420246,0.6459268663908159,0.6483284511308098,0.6367564838963801,0.6520149601902911,0.6319992045706594
46,0.649014880704963,0.6488486158450412,0.6498046387895918,0.6605619752265359,0.6548507772882202,0.6574278826170089,0.6559813783356887,0.6473854850777289,0.6625987197605786,0.6535123451658492
47,0.6692457016084304,0.6633230330401712,0.6625980508676016,0.6707788606291102,0.6862293003723953,0.6787100863639965,0.6777038269550749,0.6705570081610015,0.6946755407653911,0.6669717138103162
48,0.6472970298537001,0.6378621340600119,0.6421932802533226,0.6456528689086121,0.6652305631251237,0.6407356097858024,0.6434530424589341,0.6476395633839268,0.6567128960068203,0.64524182867234
49,0.6317106647379841,0.6322654349398382,0.6334448352948912,0.6352735222565586,0.6573739233348675,0.639111710171609,0.6392596488921034,0.6315010848839503,0.6629545006246301,0.6342009665329739
50,0.64686382065347,0.6443675967882979,0.6395659432387312,0.6477382939820335,0.6687733524127514,0.6533110740122426,0.6552349153350823,0.6477144447094364,0.6745289768662056,0.6615549725733365
51,0.6596614820890603,0.6508459114916711,0.6536783926531802,0.6584464664893331,0.6666717771423752,0.660638860568336,0.6584464664893331,0.6594353435389533,0.6689868226383853,0.6768020176158097
52,0.6307722683349851,0.6255807111000992,0.6287591365213082,0.6376440163528245,0.6438382680872151,0.6384570118929633,0.6367923067393458,0.6297928022794846,0.6486000991080277,0.62759771432111
53,0.6333901685264969,0.625945773136237,0.6272588183354393,0.6310989998020917,0.6508593785680576,0.6395633839268043,0.6404082999680302,0.6322103308112716,0.6564160336139571,0.6423417114497542
54,0.630120820241944,0.6280565548016939,0.6337408739735592,0.6337522577903253,0.6378580210372934,0.6346326062869025,0.6371977596648605,0.6288648057920859,0.6432463609732404,0.6466956574533643
55,0.6589971424223466,0.6469750257858339,0.6483573155678801,0.6669231159432543,0.668318087282934,0.6603456147173703,0.6611572344059113,0.6587308297120441,0.6680221842714867,0.6674007879474476
56,0.6311441681353406,0.6238577340238042,0.6239276092576921,0.6373708278662433,0.647681306822152,0.6430462496409189,0.6446999635096001,0.6282870474608117,0.6573240890986871,0.632215588388289
57,0.667708433119392,0.6676405785994827,0.6680716543730242,0.6755995146406105,0.6745298080914519,0.6706740747836638,0.6713685857521474,0.6650221924194527,0.6781141233196027,0.665161892901619
58,0.6629930671766675,0.6610367359949,0.6624472069487608,0.6510000796876245,0.6810024703163599,0.6737987090604829,0.6746832416925651,0.663805880946689,0.6909395170929955,0.6655669774484022
59,0.6448589122629461,0.6450356233483537,0.6413287067158244,0.6445617163465787,0.660409487778822,0.6474935138999334,0.6505216993180558,0.641597789504968,0.6630521217378732,0.6500236953500887
60,0.6318715445782948,0.6245447086518775,0.6217075246719985,0.6385197567689842,0.6481125058468994,0.6401300503791858,0.6416483272116615,0.6318715445782948,0.6547760541672099,0.6311660826157303
61,0.6190163729533809,0.5979297230703305,0.5995455925152213,0.6232078133090506,0.6334565322191869,0.6174942417912047,0.6218776224400522,0.6182262931419287,0.6279036549002803,0.6244264109843413
62,0.6458583791937037,0.6371816220010305,0.6356284675293643,0.6474040665765638,0.6617483441730573,0.6506223818519874,0.6525862262079883,0.645791175394449,0.6665944848082078,0.6506298489407935
63,0.6666815347060588,0.6656921342665055,0.6660165278532444,0.6674884637530716,0.676903987608165,0.6760362347636387,0.6768796580891596,0.6673911456770499,0.6820131865993009,0.6660570770515867
64,0.6722897430827033,0.6721604478179523,0.6575310688915593,0.671377070625637,0.6948327527722425,0.6766857820842397,0.6773170472003772,0.6704415813571439,0.6984073865624192,0.6689052493877489
65,0.6635120449193986,0.6633912938477329,0.6643308881241321,0.6591650063394313,0.6798738151301092,0.6678666304413452,0.6695948801545614,0.665662923383445,0.684032180160599,0.6592102879913059
66,0.6313388114586643,0.6245335270350025,0.6276024878558133,0.6300994234348753,0.6459254551232578,0.6349298588096427,0.6368275298497299,0.631869977754574,0.648240795387479,0.6286784400962455
67,0.6465276257514777,0.6458161426670933,0.6492262095212434,0.647853762861425,0.6608456965798293,0.6523584190761665,0.6547159961605173,0.6429702103295556,0.6660239462472425,0.6484810467642255
68,0.6431328965839963,0.642891124629543,0.6447278115738574,0.6428560287006707,0.6593511152706286,0.6463890188738106,0.644798003431602,0.6432771798471377,0.6614958664794883,0.6488808298237404
69,0.6536699586938415,0.6460971629638443,0.6451367522820378,0.6591137024256745,0.6650291522888372,0.6575753454928691,0.6595216644852029,0.6541161671964507,0.6705111424637509,0.6562282207754678
70,0.6401780038143674,0.640887084943029,0.6405203188419971,0.6423052472003521,0.6498198770926044,0.6438212137512836,0.6439923712650986,0.6388983976396564,0.6545878364060183,0.6493308556245619
71,0.6520818925881736,0.6495892451381975,0.6446799455873301,0.6565162212072622,0.6660308389126586,0.6532484211966227,0.6546695342245055,0.6524428704963257,0.6645413300705997,0.65031880048941
72,0.624954194216522,0.6175057755118298,0.6146220027085159,0.6313709870150561,0.6466820680315463,0.6308372500597467,0.6321516768899864,0.6252290289173903,0.6493109216920258,0.639890862741974
73,0.6578547035082273,0.6574511021421918,0.657660664389941,0.6598959950325985,0.6691943495808755,0.6652126668736418,0.6669900651971438,0.6558755045017075,0.6766144054641415,0.6565119528096864
74,0.6538713751396512,0.6538470879681352,0.6512200255824874,0.6526043943588996,0.6712002720163209,0.6500299541782031,0.6525072456728356,0.6546688039377601,0.668245332815207,0.6472085944204271
75,0.6369903054513567,0.6347696529773794,0.6347046978775921,0.6391744206817038,0.6540653773079359,0.6423247430213864,0.6412286257124763,0.6351553238823663,0.6571263863854111,0.6484224030139166
76,0.6566545026100902,0.6491515161432849,0.6463450555564647,0.6564908605933659,0.6736650902485722,0.6653929863031632,0.66604755437006,0.6565644995008918,0.6796871164640234,0.6604100868939109
77,0.6618137416052223,0.658127084018222,0.6550900922055761,0.6615632680536639,0.6789163887975704,0.6669797586061147,0.6675902878880383,0.6614615131733433,0.6831822664725496,0.6575322093332707
78,0.6567892125064868,0.6434062013492475,0.6456441359626363,0.6651530877010898,0.6792699143746757,0.6673261546445252,0.6682018681888947,0.6572797742605085,0.6876135184224182,0.6691951543850545
79,0.6596363060638274,0.6515881452664751,0.6530432225815936,0.6561267802079328,0.678669169701219,0.667556299429278,0.6702101191957117,0.6599793424256818,0.6847684316075966,0.6566658373479897
80,0.6523413210886306,0.6526681653672614,0.6526163485913808,0.6569968591062004,0.6681972545080594,0.650683184260455,0.6478531911162131,0.6488177803287575,0.6651679660719695,0.649686707801215
81,0.6706507625430468,0.6718968006258418,0.6712032130846096,0.6745864685909688,0.6868774850193156,0.6753849007605268,0.6757962143024203,0.6637471470163638,0.6904180074681635,0.6814013694321454
