parameter,estimate,boot_mean,ci_lo,ci_hi,expected_sign,ci_excludes_zero,sign_ok
alpha0,1.107096793600203,1.0931293922554521,-0.20019961030398428,2.259883250824828,,False,
alpha1_size,0.0842383091015144,0.08501072700587692,0.0527533713440388,0.11942142303790167,+,True,True
alpha2_nodes,2.994943636456013,2.9919671366524625,2.428267019889927,3.5229049475672722,+,True,True
beta_GRADE,0.008358177734384836,0.008358395545754157,0.0012194261852555028,0.015978884395266797,+,True,True
beta_ER_BIN,-4.551300007707304e-05,0.00011581734995569129,-0.014941815733237716,0.01395197877543068,-,False,True
beta_HER2_BIN,0.027878812401494073,0.028304816556899013,0.01047479416310297,0.048119200203707274,+,True,True
beta_PR_BIN,-0.007179716518858679,-0.007211276120205159,-0.017264043868018136,0.0035518703136837707,-,False,True
beta0 (implied by anchor),0.10455031895985976,0.10442011258843485,0.08206675948931606,0.1277640015286956,,True,
