parameter,estimate,ci_lo,ci_hi
alpha0,0.740271,-0.8996219038614185,2.1390627700363263
alpha1_size,0.087864,0.05378228647278639,0.1253708857213953
alpha2_nodes,2.788319,2.1579274495636516,3.3615097597219004
beta_GRADE,0.007322,-0.0001114499174982748,0.015287287410171784
beta_ER_BIN,0.003007,-0.012625795677782553,0.01811357388995923
beta_HER2_BIN,0.028062,0.009879622595627332,0.05018767755380429
beta_PR_BIN,-0.00702,-0.01751170847867546,0.003946389050803626
beta_HT_BIN,0.003457,-0.005736175783629709,0.01364469916451847
beta_CHEMO_BIN,0.015023,-0.0008301915166629289,0.031712399274584156
