c,alpha0,beta0,loss,rel_loss_change,C_index,n0_mean_patient
0.5,12.861508196125765,0.04240382549493591,8529310.100619674,0.0,0.6593010557363689,1656252.4982696872
0.8,8.144453611633377,0.06784612079189746,8529310.100619676,2.183816894048244e-16,0.6593010557363689,35530.594499496874
1.0,4.99975055530512,0.08480765098987182,8529310.100619674,0.0,0.6593010557363689,2743.1723380245867
1.25,1.068871734894799,0.10600956373733977,8529310.100619674,0.0,0.6593010557363689,111.63911008473553
2.0,-10.72376472633617,0.16961530197974364,8529310.100619674,0.0,0.6593010557363689,0.007524994476103276
