parameter,estimate,ci_lo,ci_hi
alpha0,0.852908,-0.7483860074390607,2.26276449940382
alpha1_size,0.085265,0.05264145609533553,0.12181180177188461
alpha2_nodes,2.984809,2.4089303374948465,3.5228974222961114
beta_GRADE,0.008086,0.0007972661129526543,0.01586849571747234
beta_ER_BIN,-0.00137,-0.017360544965356613,0.013695046949652756
beta_HER2_BIN,0.028766,0.010738673698665015,0.05061424105753457
beta_PR_BIN,-0.007008,-0.017024902437025934,0.003971824416347243
beta_HT_BIN,0.003043,-0.006014987431793664,0.013021341020753373
