split,n_high,n_low,events_high,events_low,logrank_stat,p_value
in-sample median split,911,903,469,268,113.5205980519206,1.6594844322066377e-26
out-of-fold split (training-fold threshold),910,904,466,271,107.90493605217135,2.819841610795312e-25
