comparison,delta_C_mean,ci_lo,ci_hi,n_valid,frac_positive,C_A_oob,C_B_oob
mechanistic (main) - Cox PH (same 6 features),-0.001973187775026123,-0.01588469254488822,0.01106565612094046,1000,0.393,0.6507369898212194,0.6527101775962456
continuous ESR1/PGR/ERBB2 mRNA - main,0.0017453232028712003,-0.00762672213762394,0.011556916944895529,1000,0.644,0.6524823130240905,0.6507369898212194
+MKI67 mRNA - main,0.015503350653250845,0.005944259576494795,0.024463861506631733,1000,0.996,0.6662403404744702,0.6507369898212194
+hormone therapy - main,-0.003435027593117504,-0.014115548946175468,0.002276361642771529,1000,0.24,0.6473019622281018,0.6507369898212194
+hormone & chemo - main,-0.0033708670818080513,-0.015239678453415437,0.004380739662285393,1000,0.27,0.6473661227394114,0.6507369898212194
Soil=immune signature - main,0.005077812117103001,-0.0038530103134920743,0.011091990307929487,1000,0.91,0.6558148019383224,0.6507369898212194
Soil=cytolytic score - main,0.006270378007440022,-0.00220561822429516,0.012492714687630326,1000,0.932,0.6570073678286593,0.6507369898212194
Soil=PD-L1 mRNA - main,-0.0007760370786286294,-0.006132720314929235,0.0015956616315173412,1000,0.406,0.6499609527425907,0.6507369898212194
+MKI67 & immune Soil - main,0.019484316253389488,0.007706182109733781,0.0294984564674709,1000,0.998,0.6702213060746087,0.6507369898212194
