seed_link,n_params,loss,C_in,C_cv,C_cv_sd,n_Tpred_le_0,min_Tpred,max_ln_n0,hess_min_over_max,alpha1_size,alpha2_nodes,beta0_implied,beta_GRADE,beta_ER_BIN,beta_HER2_BIN,beta_PR_BIN
linear,7,8529310.10061764,0.6593010557363689,0.656943669592951,0.01704495941788145,7,-63.066726725224854,28.529023472265294,6.200570295201321e-10,0.09266029522038045,0.5451606031146985,0.10271166879658071,0.00972837858737404,-0.0003709469413163516,0.029134985915033725,-0.007756034120318751
log1p,7,8451023.703590987,0.6553769462882129,0.6540357757837214,0.01398239315408138,3,-32.43747904088637,24.926492935176093,6.083210137222241e-10,0.0842383091015144,2.994943636456013,0.10455031895985976,0.008358177734384836,-4.551300007707304e-05,0.027878812401494073,-0.007179716518858679
pN,7,8493022.104868373,0.6504987607791729,0.6489766698768732,0.014658041772057843,3,-33.104119955283885,25.012666000221458,7.670921513061214e-10,0.08698686628195572,2.762262812447324,0.10459136245873457,0.008567899659290269,-0.0007220605814535438,0.027753169526304324,-0.006963656286167884
bounded,7,8487515.102841293,0.6591167088364692,0.6570013692905292,0.017065886183469416,0,0.5021893074575476,20.66157806686482,3.6264424232223277e-09,0.02571783259879111,0.16066296282267112,0.10177651318759581,0.00879623635018718,0.00016098255572333695,0.028471534865959307,-0.00548852353399983
