model,C_cv,AUC_5y,AUC_10y,AUC_15y,C_in
mechanistic (main),0.6528198068346344,0.6979684611517992,0.6796788050742923,0.6680007091373298,0.6553769462882129
"Cox PH, 6 features",0.6560539629732244,0.7077337683080153,0.6830104805342626,0.6649383994675737,0.6589237375202
