comparison,delta_C_mean,ci_lo,ci_hi,n_valid,frac_positive,C_A_oob,C_B_oob
mechanistic (main) - Cox PH (same 6 features)  [reproduces Section 3.2],-0.001973187775026123,-0.01588469254488822,0.01106565612094046,1000,0.393,0.6507369898212194,0.6527101775962456
Grade + HER2 only - main,0.0017020016492596058,-0.0037840497962257995,0.01035048302822735,1000,0.622,0.6524389914704789,0.6507369898212194
drop ER only - main,0.0015427773758339538,-0.0006189257191651698,0.0081143499638958,1000,0.794,0.6522797671970533,0.6507369898212194
ER and PR merged (HR-negative) - main,-6.786539807576153e-07,-0.004573412364522736,0.007417792093800427,1000,0.435,0.6507363111672386,0.6507369898212194
